tag,method,eta,cov_all,width,inf_frac,cell_sd,cell_range,cell_frac_in,n_eligible_cells,domain,prep,scenario,n_all,D_km,spacing_km
Nationwide|detrend|extrap,sLSCP,2phi,0.9595006090133983,8.974560890290416,0.3806333739342265,0.08546154923620355,0.3125,0.8823529411764706,34,Nationwide,detrend,extrap,3284,6857.4,119.66
Nationwide|detrend|extrap,sLSCP,4phi,0.9573690621193667,8.647117555189865,0.3806333739342265,0.08564549600732335,0.30000000000000004,0.8823529411764706,34,Nationwide,detrend,extrap,3284,6857.4,119.66
Nationwide|detrend|extrap,sLSCP,8phi,0.9546285018270402,8.460328635627166,0.3806333739342265,0.08719051733688844,0.30000000000000004,0.8823529411764706,34,Nationwide,detrend,extrap,3284,6857.4,119.66
Nationwide|detrend|extrap,sLSCP,16phi,0.9467113276492083,8.821897258460424,0.243605359317905,0.08506862630593187,0.30000000000000004,0.8823529411764706,34,Nationwide,detrend,extrap,3284,6857.4,119.66
Nationwide|detrend|extrap,sLSCP,inf,0.8979902557856273,8.234606736478643,0.0,0.12316289160454225,0.44999999999999996,0.7352941176470589,34,Nationwide,detrend,extrap,3284,6857.4,119.66
Nationwide|detrend|interp,GSCP,equal,0.9092846270928463,7.984381495290134,0.0,0.1034033402185155,0.375,0.8235294117647058,34,Nationwide,detrend,interp,3284,6857.4,119.66
Nationwide|detrend|interp,sLSCP,0.5phi,0.9884322678843227,9.974699272287307,0.7342465753424657,0.015319384494932989,0.0561797752808989,1.0,34,Nationwide,detrend,interp,3284,6857.4,119.66
Nationwide|detrend|interp,sLSCP,1phi,0.975951293759513,8.693523735728395,0.6,0.03001552126549073,0.1235955056179775,1.0,34,Nationwide,detrend,interp,3284,6857.4,119.66
Nationwide|detrend|interp,sLSCP,2phi,0.9698630136986301,8.104164428616652,0.6,0.0355125351782093,0.1460674157303371,1.0,34,Nationwide,detrend,interp,3284,6857.4,119.66
Nationwide|detrend|interp,sLSCP,4phi,0.9640791476407915,8.90148017886606,0.4094368340943683,0.0492304860156361,0.20833333333333337,0.9705882352941176,34,Nationwide,detrend,interp,3284,6857.4,119.66
Nationwide|detrend|interp,sLSCP,8phi,0.9537290715372907,8.924006383686839,0.2831050228310502,0.052887804276419516,0.20833333333333337,0.9705882352941176,34,Nationwide,detrend,interp,3284,6857.4,119.66
Nationwide|detrend|interp,sLSCP,16phi,0.9220700152207002,8.293433253422188,0.0006088280060882801,0.07385092862670152,0.25,0.8823529411764706,34,Nationwide,detrend,interp,3284,6857.4,119.66
Nationwide|detrend|interp,sLSCP,inf,0.9092846270928463,7.984381495290134,0.0,0.1034033402185155,0.375,0.8235294117647058,34,Nationwide,detrend,interp,3284,6857.4,119.66
Nationwide|raw|extrap,GSCP,equal,0.7944579780755177,30.21236054045299,0.0,0.25821912247199613,0.8591549295774648,0.6176470588235294,34,Nationwide,raw,extrap,3284,6857.4,119.66
Nationwide|raw|extrap,sLSCP,0.5phi,0.8669305724725944,36.721016989325726,0.08982947624847747,0.19127386164262977,0.6759259259259259,0.7941176470588235,34,Nationwide,raw,extrap,3284,6857.4,119.66
Nationwide|raw|extrap,sLSCP,1phi,0.8221680876979294,32.67788971548181,0.0,0.2190578708820445,0.6,0.6764705882352942,34,Nationwide,raw,extrap,3284,6857.4,119.66
Nationwide|raw|extrap,sLSCP,2phi,0.8014616321559074,30.912683802525294,0.0,0.25160589581692777,0.8450704225352113,0.6176470588235294,34,Nationwide,raw,extrap,3284,6857.4,119.66
Nationwide|raw|extrap,sLSCP,4phi,0.7978075517661388,30.435276911654892,0.0,0.2555293658854497,0.8591549295774648,0.6176470588235294,34,Nationwide,raw,extrap,3284,6857.4,119.66
Nationwide|raw|extrap,sLSCP,8phi,0.794762484774665,30.23634322648128,0.0,0.2578029696599458,0.8591549295774648,0.6176470588235294,34,Nationwide,raw,extrap,3284,6857.4,119.66
Nationwide|raw|extrap,sLSCP,16phi,0.794762484774665,30.22374152321878,0.0,0.2578029696599458,0.8591549295774648,0.6176470588235294,34,Nationwide,raw,extrap,3284,6857.4,119.66
Nationwide|raw|extrap,sLSCP,inf,0.7944579780755177,30.21236054045299,0.0,0.25821912247199613,0.8591549295774648,0.6176470588235294,34,Nationwide,raw,extrap,3284,6857.4,119.66
Nationwide|raw|interp,GSCP,equal,0.8983257229832572,11.128267822583826,0.0,0.11331259564929168,0.3820224719101124,0.7647058823529411,34,Nationwide,raw,interp,3284,6857.4,119.66
Nationwide|raw|interp,sLSCP,0.5phi,0.9220700152207002,11.667212300444886,0.0,0.0778773241360879,0.33333333333333337,0.9411764705882353,34,Nationwide,raw,interp,3284,6857.4,119.66
Nationwide|raw|interp,sLSCP,1phi,0.908675799086758,11.463925103625558,0.0,0.09933187200364568,0.3707865168539326,0.7941176470588235,34,Nationwide,raw,interp,3284,6857.4,119.66
Nationwide|raw|interp,sLSCP,2phi,0.8995433789954338,11.222441710827999,0.0,0.11141658509277048,0.3932584269662921,0.7647058823529411,34,Nationwide,raw,interp,3284,6857.4,119.66
Nationwide|raw|interp,sLSCP,4phi,0.899847792998478,11.138710924609716,0.0,0.11188913779231568,0.3820224719101124,0.7647058823529411,34,Nationwide,raw,interp,3284,6857.4,119.66
Nationwide|raw|interp,sLSCP,8phi,0.8983257229832572,11.129055690719975,0.0,0.11331259564929168,0.3820224719101124,0.7647058823529411,34,Nationwide,raw,interp,3284,6857.4,119.66
Nationwide|raw|interp,sLSCP,16phi,0.8983257229832572,11.112692556260518,0.0,0.11331259564929168,0.3820224719101124,0.7647058823529411,34,Nationwide,raw,interp,3284,6857.4,119.66
Nationwide|raw|interp,sLSCP,inf,0.8983257229832572,11.128267822583826,0.0,0.11331259564929168,0.3820224719101124,0.7647058823529411,34,Nationwide,raw,interp,3284,6857.4,119.66
